,BSH_Enzyme,Inhibitor,Bile_Acid,Run,Replicate,log2_concentration,fitted_values_7,fitted_se_7,ci_lwr_7,ci_upr_7,enzyme_baseline_7,inhibitor_baseline_7,enzyme_inhibitor_interaction_7,inhibitor_potency_7,enzyme_bileacid_interaction_7,fitted_values_9,fitted_se_9,ci_lwr_9,ci_upr_9,enzyme_baseline_9,enzyme_bileacid_interaction_9,enzyme_inhibitor_interaction_9,enzyme_inhibitor_bileacid_interaction_9,inhibitor_potency_9,Protein_Molecular_Weight,Protein_Aromaticity,Protein_Instability_Index,Protein_Isoelectric_Point,Protein_GRAVY,Protein_AA_Percent_A,Protein_AA_Percent_C,Protein_AA_Percent_D,Protein_AA_Percent_E,Protein_AA_Percent_F,Protein_AA_Percent_G,Protein_AA_Percent_H,Protein_AA_Percent_I,Protein_AA_Percent_K,Protein_AA_Percent_L,Protein_AA_Percent_M,Protein_AA_Percent_N,Protein_AA_Percent_P,Protein_AA_Percent_Q,Protein_AA_Percent_R,Protein_AA_Percent_S,Protein_AA_Percent_T,Protein_AA_Percent_V,Protein_AA_Percent_W,Protein_AA_Percent_Y,Protein_Organism,Inhibitor_IP_Conc,Inhibitor_Complexity,Inhibitor_H_Bond_Acceptor,Inhibitor_H_Bond_Donor,Inhibitor_Rotatable_Bonds,Inhibitor_Molecular_Weight,Inhibitor_Polar_Surface_Area,Bile_complexity,Bile_h_bond_acceptor,Bile_h_bond_donor,Bile_rotatable_bonds,Bile_molecular_weight,Bile_polar_surface_area
619,1011c,XIV,TCDCA,Run 5,2,0.604292451161481,-0.52828405630026,0.726718002712742,-1.92851720523295,0.920217365400997,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,2.11765864389679,0.323412416488001,1.36943140081813,-2.21687201306338,3.1512990781437,2.21796608396708,1.88389344433436,0.62311886502286,1.46592627408893,1.46592627408893,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
620,1011c,XIV,TCDCA,Run 5,3,-0.441434403417538,-0.478591392663024,0.73543317639827,-1.89636455965459,0.986533491826627,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,2.11765864389679,0.415518568734267,1.3596827559994,-2.08799557470077,3.24196082881689,2.21796608396708,1.88389344433436,0.62311886502286,1.46592627408893,1.46592627408893,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
621,1011c,XIV,TDCA,Run 5,1,0.389274860238507,0.146381848104171,0.726267962238446,-1.37231625298527,1.47465415898944,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,2.44235328329156,0.271921822704637,1.31024875407773,-2.30474157454986,2.83143354143483,2.21796608396708,2.55352942342013,0.62311886502286,0.780631956288489,0.780631956288489,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
622,1011c,XIV,TDCA,Run 5,2,0.484704299340971,0.0392969216434563,0.733120208041291,-1.52565559357655,1.34817562194531,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,2.44235328329156,0.0822576210095797,1.27131407465021,-2.36100124411424,2.6225499285146,2.21796608396708,2.55352942342013,0.62311886502286,0.780631956288489,0.780631956288489,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
623,1011c,XIV,TDCA,Run 5,3,-0.677409183995825,0.0889895852806923,0.737842736914117,-1.45231921855524,1.44002431014809,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,2.44235328329156,0.174363773255845,1.27433500315207,-2.28801562965987,2.70737758269624,2.21796608396708,2.55352942342013,0.62311886502286,0.780631956288489,0.780631956288489,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
624,1011c,XIV,TLCA,Run 5,1,0.811853175496444,0.181238531961114,0.750882886489113,-1.38904763862285,1.55441327641448,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,4.6474853102006,0.607711379333346,1.19724444659127,-1.84783973154447,2.84535849909333,2.21796608396708,4.87429569446218,0.62311886502286,-1.25599003210846,-1.25599003210846,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,825.0,5,3,7,483.7,112.0
625,1011c,XIV,TLCA,Run 5,2,0.657694760190919,0.0741536055003988,0.734500408524044,-1.43782955795396,1.44141204346029,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,4.6474853102006,0.418047177638289,1.26286346894871,-2.09858905208308,2.85183574619586,2.21796608396708,4.87429569446218,0.62311886502286,-1.25599003210846,-1.25599003210846,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,825.0,5,3,7,483.7,112.0
626,1011c,XIV,TLCA,Run 5,3,0.0301955016729572,0.123846269137635,0.769889290554282,-1.47598513227921,1.54198088669358,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,4.6474853102006,0.510153329884554,1.26663128775979,-1.89954436432234,3.06565028369602,2.21796608396708,4.87429569446218,0.62311886502286,-1.25599003210846,-1.25599003210846,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,825.0,5,3,7,483.7,112.0
627,1011c,XIV,TUDCA,Run 5,1,0.341270116484988,-0.325686255431615,0.74026162015343,-1.77346949255625,1.1283560584452,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,0.624689646963009,0.381899149155417,1.30883098539458,-2.06335770508601,3.06725975766073,2.21796608396708,8.22299025417329,0.62311886502286,2.11103465395935,2.11103465395935,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
628,1011c,XIV,TUDCA,Run 5,2,-0.078939648251398,-0.432771181892329,0.731862339881948,-1.84655975477598,1.02234061756125,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,0.624689646963009,0.192234947460359,1.32623257788692,-2.21102281987503,2.98780888544167,2.21796608396708,8.22299025417329,0.62311886502286,2.11103465395935,2.11103465395935,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
629,1011c,XIV,TUDCA,Run 5,3,0.0025031004781225,-0.383078518255093,0.740862872485244,-1.80619133940034,1.09799112074181,3.11285483103175,-8.47806039808374,0.585585004504675,2.52726982652707,0.624689646963009,0.284341099706625,1.29941204056341,-2.15336455113635,2.94033064787223,2.21796608396708,8.22299025417329,0.62311886502286,2.11103465395935,2.11103465395935,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,621.0,2.0,2.0,2.0,359.4,65.2,858.0,6,4,7,499.7,132.0
630,1011c,XIX,GCA,Run 6,1,-1.15396083560578,-0.223779387610217,0.7391044160697,-1.65584387749487,1.24144543349836,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,1.24822746031924,0.732417640300173,1.17099009209241,-1.43421108998868,3.15607007101355,2.21796608396708,4.85308689284523,1.41394287548861,-0.81517236107074,-0.81517236107074,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,772.0,7,4,6,464.6,133.0
631,1011c,XIX,GCA,Run 6,2,1.24625918319634,-0.198260339256287,0.730406700076572,-1.61824772039936,1.2449465439008,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,1.24822746031924,0.776475750111977,1.1704379503924,-1.41471822895654,3.17339853658167,2.21796608396708,4.85308689284523,1.41394287548861,-0.81517236107074,-0.81517236107074,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,772.0,7,4,6,464.6,133.0
632,1011c,XIX,GCA,Run 6,3,2.00761416412139,-0.178742656282923,0.729124795905889,-1.56210067061893,1.29606852933215,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,1.24822746031924,0.809575613758001,1.18839703475561,-1.43316562248879,3.2253507537532,2.21796608396708,4.85308689284523,1.41394287548861,-0.81517236107074,-0.81517236107074,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,772.0,7,4,6,464.6,133.0
633,1011c,XIX,GCDCA,Run 6,1,-2.09470128517005,0.750496220609923,0.75044765785588,-0.731713202715124,2.21004161607992,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,3.86722455141698,-0.572766312173797,1.36824928290144,-3.07680106441338,2.28673612456027,2.21796608396708,4.91788609318026,1.41394287548861,-0.935227066462295,-0.935227066462295,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
634,1011c,XIX,GCDCA,Run 6,2,1.08076779541545,0.776015268963853,0.732732216298246,-0.685786984883864,2.18652330300526,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,3.86722455141698,-0.528708202361994,1.36463159564151,-3.02027723963503,2.3290786152797,2.21796608396708,4.91788609318026,1.41394287548861,-0.935227066462295,-0.935227066462295,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
635,1011c,XIX,GCDCA,Run 6,3,-0.575345841814469,0.795532951937218,0.730065830535724,-0.647521111138494,2.21433694456155,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,3.86722455141698,-0.49560833871597,1.35455193282109,-2.96386407528404,2.34597950137463,2.21796608396708,4.91788609318026,1.41394287548861,-0.935227066462295,-0.935227066462295,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
636,1011c,XIX,GDCA,Run 6,1,-1.0202918206467,0.762279110163646,0.717916666294093,-0.634764559139676,2.17946877273317,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.99369609066356,0.198079387925603,1.23691982965267,-2.04602701331269,2.80269871892579,2.21796608396708,4.62884865844204,1.41394287548861,-0.869176131015847,-0.869176131015847,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
637,1011c,XIX,GDCA,Run 6,2,1.77804616626477,0.787798158517576,0.714198205711801,-0.616122998658193,2.18353396773207,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.99369609066356,0.242137497737406,1.20886559408306,-1.89351794392896,2.84523518487664,2.21796608396708,4.62884865844204,1.41394287548861,-0.869176131015847,-0.869176131015847,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
638,1011c,XIX,GDCA,Run 6,3,-0.457989644463391,0.80731584149094,0.722364590204334,-0.606262590947597,2.22540660265339,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.99369609066356,0.275237361383431,1.27725923918878,-2.10639061071083,2.9004656069092,2.21796608396708,4.62884865844204,1.41394287548861,-0.869176131015847,-0.869176131015847,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
639,1011c,XIX,GLCA,Run 6,1,-4.10845981169743,-0.456129757923775,0.748654039518621,-1.86145114195865,1.07327269295435,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,4.79064537774658,-1.10697885945521,1.31381549772862,-3.36723279257145,1.78292395852472,2.21796608396708,5.75689650937282,1.41394287548861,-1.29827106242262,-1.29827106242262,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,695.0,4,3,6,433.6,86.6
640,1011c,XIX,GLCA,Run 6,2,0.476756947087452,-0.430610709569845,0.725008464144112,-1.83863351164619,1.00339966779873,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,4.79064537774658,-1.06292074964341,1.28451090808211,-3.29910356509505,1.73617919458681,2.21796608396708,5.75689650937282,1.41394287548861,-1.29827106242262,-1.29827106242262,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,695.0,4,3,6,433.6,86.6
641,1011c,XIX,GLCA,Run 6,3,0.614807874378157,-0.411093026596481,0.728591541978746,-1.80149577064961,1.05458307390707,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,4.79064537774658,-1.02982088599738,1.37120198150912,-3.50435315080567,1.87075861671008,2.21796608396708,5.75689650937282,1.41394287548861,-1.29827106242262,-1.29827106242262,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,695.0,4,3,6,433.6,86.6
642,1011c,XIX,GUDCA,Run 6,1,-3.3294850832451,-1.27550166139308,0.751069073199171,-2.67984000036715,0.2643507665736,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,0.0517224764312709,-1.719304136031,1.25751164494844,-4.0758775691001,0.853568079097805,2.21796608396708,1.10764539510183,1.41394287548861,-2.66906680911679,-2.66906680911679,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
643,1011c,XIX,GUDCA,Run 6,2,-1.28767728056676,-1.24998261303915,0.731939044542005,-2.67229313820983,0.196907916394833,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,0.0517224764312709,-1.6752460262192,1.23852927214577,-4.04159465533848,0.813440091472941,2.21796608396708,1.10764539510183,1.41394287548861,-2.66906680911679,-2.66906680911679,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
644,1011c,XIX,GUDCA,Run 6,3,-0.331768017571314,-1.23046493006578,0.74800604167389,-2.64120375586936,0.290979927492285,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,0.0517224764312709,-1.64214616257318,1.24671860384847,-4.07418297458823,0.812953952497768,2.21796608396708,1.10764539510183,1.41394287548861,-2.66906680911679,-2.66906680911679,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,727.0,5,4,6,449.6,107.0
645,1011c,XIX,TCA,Run 6,1,-0.0546369446281784,-0.750352656244997,0.73174226055647,-2.19070415683007,0.677725504551297,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,1.75935188388804,1.03351335382428,1.38703621231195,-1.73202568801334,3.70515626424948,2.21796608396708,2.2251894222283,1.41394287548861,1.11809637776539,1.11809637776539,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,83.4,2,1,0,163.38,37.3
646,1011c,XIX,TCA,Run 6,2,1.86278532927039,-0.724833607891067,0.730017939859605,-2.18148182413328,0.680188500116366,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,1.75935188388804,1.07757146363609,1.39822746923564,-1.77584984338418,3.70520183601954,2.21796608396708,2.2251894222283,1.41394287548861,1.11809637776539,1.11809637776539,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,83.4,2,1,0,163.38,37.3
647,1011c,XIX,TCA,Run 6,3,1.05715498363044,-0.705315924917702,0.728088118095617,-2.14188859202776,0.712216830907056,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,1.75935188388804,1.11067132728211,1.40448030776364,-1.73914662211655,3.76641618431691,2.21796608396708,2.2251894222283,1.41394287548861,1.11809637776539,1.11809637776539,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,83.4,2,1,0,163.38,37.3
648,1011c,XIX,TCDCA,Run 6,1,-0.0810524681848074,-0.205088757055436,0.710551129554649,-1.57607336817926,1.20928705967497,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.11765864389679,0.356642503072173,1.24725732592461,-2.17219687413736,2.71705184348713,2.21796608396708,1.88389344433436,1.41394287548861,0.762261287512425,0.762261287512425,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,858.0,6,4,7,499.7,132.0
649,1011c,XIX,TCDCA,Run 6,2,0.609305654905795,-0.179569708701505,0.717442705421914,-1.58338558753902,1.22898981771488,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.11765864389679,0.400700612883976,1.23310374877333,-2.05645632682093,2.77731036837054,2.21796608396708,1.88389344433436,1.41394287548861,0.762261287512425,0.762261287512425,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,858.0,6,4,7,499.7,132.0
650,1011c,XIX,TCDCA,Run 6,3,0.514044656220662,-0.160052025728141,0.719261286025011,-1.53467971613209,1.28482452508595,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.11765864389679,0.433800476530001,1.26549782337321,-2.16599921689745,2.79475225072553,2.21796608396708,1.88389344433436,1.41394287548861,0.762261287512425,0.762261287512425,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,858.0,6,4,7,499.7,132.0
651,1011c,XIX,TDCA,Run 6,1,-0.413849695109461,0.36249222088828,0.751227874682507,-1.11023911423284,1.83457415452259,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.44235328329156,0.205742016972556,1.25899749096118,-2.23020770080242,2.70506246376541,2.21796608396708,2.55352942342013,1.41394287548861,0.0480046152937616,0.0480046152937614,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,858.0,6,4,7,499.7,132.0
652,1011c,XIX,TDCA,Run 6,2,0.124766038745319,0.388011269242211,0.735448109721181,-1.05016379277675,1.83279279733028,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.44235328329156,0.249800126784359,1.24800289932492,-2.1219760258389,2.77019533951477,2.21796608396708,2.55352942342013,1.41394287548861,0.0480046152937616,0.0480046152937614,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,858.0,6,4,7,499.7,132.0
653,1011c,XIX,TDCA,Run 6,3,0.614590737521754,0.407528952215575,0.732060572356499,-1.0410033954673,1.82867404817018,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,2.44235328329156,0.282899990430384,1.30653672572422,-2.20360516102596,2.91801880381299,2.21796608396708,2.55352942342013,1.41394287548861,0.0480046152937616,0.0480046152937614,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,858.0,6,4,7,499.7,132.0
654,1011c,XIX,TLCA,Run 6,1,-2.27782338598509,0.397348904745223,0.725617249907479,-1.03858691622178,1.80583270341554,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,4.6474853102006,-1.16181296993356,1.27857080201281,-3.74654016184877,1.26545738204145,2.21796608396708,4.87429569446218,1.41394287548861,-1.36333734733796,-1.36333734733796,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,825.0,5,3,7,483.7,112.0
655,1011c,XIX,TLCA,Run 6,2,-0.143740130921354,0.422867953099153,0.720689834013574,-0.983866272876397,1.84123787645681,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,4.6474853102006,-1.11775486012176,1.24482367121675,-3.70697441589091,1.17273437527875,2.21796608396708,4.87429569446218,1.41394287548861,-1.36333734733796,-1.36333734733796,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,825.0,5,3,7,483.7,112.0
656,1011c,XIX,TLCA,Run 6,3,-1.02680778036681,0.442385636072518,0.731881857986873,-1.0340601590307,1.83491672427784,3.11285483103175,-9.24171771015703,0.701939240303705,2.41091559072804,4.6474853102006,-1.08465499647573,1.31762714364149,-3.7583355681,1.40676283497463,2.21796608396708,4.87429569446218,1.41394287548861,-1.36333734733796,-1.36333734733796,36385.15,0.105,31.467,4.623,-0.348,0.049,0.012,0.077,0.062,0.049,0.055,0.028,0.055,0.055,0.089,0.018,0.086,0.046,0.025,0.015,0.071,0.08,0.071,0.003,0.052,Lactobacillus johnsonii,100.0,572.0,5.0,3.0,1.0,346.4,87.0,825.0,5,3,7,483.7,112.0
